id,title,presenter,category,board,slots
1,ブラックボックスを開く-1から作るコンピューター-,,慶祥,K甲-025,11:00-12:00
2,可変断面積機構を用いた亜音速FTVノズルにおける絞り比による推力と偏向角への影響,,慶祥,K甲-027,10:30-11:00|11:30-12:00
3,ニュージーランドで民族共生を学びみんなが平等な北海道を目指す,,慶祥,K甲-029,12:00-12:30
4,プラスチックを分解するミルワームとは,,慶祥,K甲-031,10:30-11:30
5,大気を推進力に変える大気吸引型イオンエンジンにおける性能向上条件の最適化,,慶祥,K甲-033,10:45-11:15|11:30-12:30
6,東西初頭の行方,,慶祥,K甲-035,10:30-11:00
7,フィギアスケートにおける「主観的評価」の客観化へのアプローチ,,慶祥,K甲-037,
8,島国の農業を環境保護と技術で国を支える力に⁇,,慶祥,K甲-040,10:30-11:30
9,足跡画像を用いた動物種同定モデルの構築と模倣足跡サンプルによる学習データ増強,,慶祥,K甲-042,11:45-12:30
10,しゃっくりの誘発条件に関する実験的研究,,慶祥,K甲-044,10:30-11:00
11,新単位LAFをさだめる,,慶祥,K甲-046,10:30-11:00
12,微生物燃料電池の好気性環境と嫌気性環境の発電効率比較,,慶祥,K甲-048,10:30-11:00
13,世界最先端都市シンガポールから学ぶ都市再生戦略～苫小牧都市再生コンセプトプラン再構築への提言～,,慶祥,K甲-050,10:40-11:20|12:00-12:30
14,NZの人々とマオリ語、私たちとアイヌ語,,中3総合,NZ-002,
15,日本が取り入れたらいいNZの生活習慣,,中3総合,NZ-004,
16,NZの人たちはどれくらいの割合で手話ができるのか,,中3総合,NZ-006,
17,NZと日本における自己肯定感について,,中3総合,NZ-008,
18,どんな環境が私たちの学びを深めるのか,,中3総合,NZ-010,
19,NZの学生は日本の学生より勉強している？,,中3総合,NZ-013,
20,ecoの取り組みの幅を広げる,,中3総合,NZ-015,
21,家事から見える子どもの自立性：ニュージーランドと日本の比較調査,,中3総合,NZ-017,
22,運動の時間、きちんと取れていますか？,,中3総合,NZ-019,
23,移民問題について,,中3総合,NZ-021,
24,NZの発電システムと環境意識,,中3総合,NZ-023,
